ID,CourseID,Description,SO_KPIID,ProgramOutcomeID,MasteryLevel
95,401,Understand historical context of rocket and jet development,24,5,Developed
96,401,Develop and discuss methods for how to apply systems thinking to propulsion application development,17,5,Developed
97,402,Analyze and compare the variation in propulsion fundamentals to design spacecraft propulsion systems for low earth orbiting to interplanetary spacecraft,4,13,Mastered
98,402,Apply the fundamentals of specific propulsion system design to spacecraft and missions,4,13,Developed
99,402,Analyze how different propulsion subsystems affect spacecraft design,23,13,Developed
100,405,"Analyze (qualitatively and quantitatively) two-dimensional, supersonic flows around aerodynamic shapes.",1,1,None
101,405,Create computational models of supersonic flows and be able to interpret the results.,1,1,None
102,405,Understand the differences between two-dimensional and three-dimensional aerodynamics models and describe how those differences affect the aerodynamic performance.,1,1,None
103,405,Apply gas dynamics fundamentals to typical aerospace engineering problems.,1,1,None
104,405,Apply simple viscous modeling techniques to approximate the effects of viscosity on the aerodynamic performance of supersonic vehicles,1,1,None
105,420,Understand the basic concepts of airplane stability and Control,1,1,None
106,420,Learn how to derive the equations for stability and control,1,1,None
107,420,Understand how to design an airplane to be stable and controllable,1,1,None
108,420,Learn how to derive and understand the 6DOF equations for an airplane,1,1,None
109,421,"Describe the fundamentals of rotational motion as related to spacecraft, launch vehicle. and re-entry vehicles",2,10,Mastered
110,421,Understand spacecraft attitude sensors in terms of guidance and navigation,2,10,Developed
111,421,Understand and analyze spacecraft attitude control actuators including momentum exchange devices (CMGs and Momentum Wheels) and external moment devices (thrusters and magnetorqures),4,10,Mastered
112,421,"Design and Analyze the performance of a spacecraft, launch vehicle and re-entry vehicle attitude control system",7,10,Developed
113,421,Appreciate the limitations of spacecraft attitude control systems due to space operation environment,8,10,Developed
114,433,Design experimental procedures for performing mechanical tests,1,1,None
115,433,Utilize the concept of stress and strain in solving real-world problems under varios loading conditions,1,1,None
116,433,Identify underlying principles in using strain gages,1,1,None
117,433,Mount strain gages and take measurements under various loading conditions,1,1,None
118,433,Perform a range of mechanical tests independtly,1,1,None
119,443,Learn how to perform aircraft configuration tradeoffs,1,1,None
120,443,Learn how to perform aircraft sizing ,1,1,None
121,443,"Learn how to organize design activities, using management tools",1,1,None
122,443,"Have a comprehensive view of the aircraft design process, treating it as a complete system for a complete life-cycle. ",1,1,None
123,443,Understanding of aircraft certification regulation. ,1,1,None
124,443,Learn how to interpret and derive requirements ,1,1,None
125,443,Increase the knowledge about aircraft market ,1,1,None
126,443,"Lear how to create high level presentations, including charts, drafting and other analysis",1,1,None
127,443,Learn how to give engineer presentation ,1,1,None
128,443,Learn how to create engineer reports ,1,1,None
129,444,"The students should be able to apply design and analysis methods to solving various problems in aircraft design, specifically to the following problems",1,1,None
130,444,Aircraft configuration tradeoffs,1,1,None
131,444,Performance analysis,1,1,None
132,444,Integration of aircraft design and concepts,1,1,None
133,444,Economics estimation and assessments,1,1,None
134,444,Evaluation of flight safety implications of design options,1,1,None
135,446,Understand the basic functions of all spacecraft subsystems,1,1,None
136,446,Understand the basic components and performance metrics of spacecraft power subsystem,1,1,None
137,446,Evaluate the performance of power system components and develop a power budget,1,1,None
138,446,Understand the basic components and performance metrics of spacecraft communications subsystems,1,1,None
139,446,Evaluate the performance of communications components and develop a link budget,1,1,None
140,446,Understand the basic interactions between spacecraft subsystems to perform design trades,1,1,None
141,447,Understand the functions of spacecraft subsystems,8,1,None
142,447,Identify and formulate the design requirements for a space system,7,1,None
143,447,Understand launch system effect on satellite and payload design and performance,24,1,None
144,447,Evaluate spacecraft subsystem performance and trades,4,1,None
145,447,"Trade subsystem performance requirements to optimize higherlevel system performance, cost, or weight",26,1,None
146,447,Solve problems as part of a team,20,1,None
147,448,?,1,1,None
148,449,?,1,1,None
149,460,Graduate school requirements and the value of graduate degrees relative to career plans,25,1,Introduced
150,460,"Personal marketing strategies: personal ""business"" cards, networking (social media, professional associations) business correspondence format, resumes, interviews, and salary negotiations",1,1,Introduced
151,460,"Business etiquette, professionalism and team dynamics",19,1,Introduced
152,460,Basic knowledge of the entrepreneurial process and protecting intellectual property,1,1,Introduced
153,460,The importance of ethics in the aerospace industry,15,1,Introduced
154,460,"Career development, and maintaining knowledge of contemporary issues through lifelong learning and the value of additional certifications",25,1,Introduced
155,465,"Apply the foundational engineering sciences to propose, design and implement an experiment to test a hypothesis",21,1,Mastered
156,465,"Demonstrate an understanding of complex integrated systems through experimentation, reduction and analysis of data",23,1,Mastered
157,465,Measure and interpret complex physical phenomena and draw conclusions based on sound engineering principles,23,1,Mastered
158,465,"Communicate experimental techniques, data acquisition and synthesis, analysis, and understanding of complex systems",11,1,Mastered
159,465,Identify the fundamental relationships of physical systems grounded in foundational engineering principles,8,1,Mastered
